sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier,source_quality_status,quality_reason,avatar_id,extractor,view,recipe,derived_signer_id,donor_sample_id,target_sample_id
syn_stomachache_location_0014,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0014.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_legacy,ext_headache_serpil_avci_1_legacy
syn_stomachache_location_0015,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0015.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_legacy,ext_headache_serpil_avci_1_legacy
syn_stomachache_location_0016,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0016.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_10fps_p0,ext_headache_serpil_avci_1_web_10fps_p0
syn_stomachache_location_0017,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0017.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_10fps_p0,ext_headache_serpil_avci_1_web_10fps_p0
syn_stomachache_location_0018,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0018.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_10fps_p0,ext_headache_serpil_avci_1_web_10fps_p0
syn_stomachache_location_0019,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0019.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_10fps_p50,ext_headache_serpil_avci_1_web_10fps_p50
syn_stomachache_location_0020,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0020.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_10fps_p50,ext_headache_serpil_avci_1_web_10fps_p50
syn_stomachache_location_0021,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0021.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_10fps_p50,ext_headache_serpil_avci_1_web_10fps_p50
syn_stomachache_location_0022,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0022.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_25fps_p0,ext_headache_serpil_avci_1_web_25fps_p0
syn_stomachache_location_0023,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0023.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_25fps_p0,ext_headache_serpil_avci_1_web_25fps_p0
syn_stomachache_location_0024,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0024.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_1_web_25fps_p0,ext_headache_serpil_avci_1_web_25fps_p0
syn_stomachache_location_0025,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0025.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_legacy,ext_headache_serpil_avci_2_legacy
syn_stomachache_location_0026,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0026.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_legacy,ext_headache_serpil_avci_2_legacy
syn_stomachache_location_0027,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0027.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_legacy,ext_headache_serpil_avci_2_legacy
syn_stomachache_location_0028,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0028.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_10fps_p0,ext_headache_serpil_avci_2_web_10fps_p0
syn_stomachache_location_0029,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0029.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_10fps_p0,ext_headache_serpil_avci_2_web_10fps_p0
syn_stomachache_location_0030,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0030.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_10fps_p0,ext_headache_serpil_avci_2_web_10fps_p0
syn_stomachache_location_0031,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0031.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_10fps_p50,ext_headache_serpil_avci_2_web_10fps_p50
syn_stomachache_location_0032,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0032.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_10fps_p50,ext_headache_serpil_avci_2_web_10fps_p50
syn_stomachache_location_0033,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0033.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_10fps_p50,ext_headache_serpil_avci_2_web_10fps_p50
syn_stomachache_location_0034,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0034.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_25fps_p0,ext_headache_serpil_avci_2_web_25fps_p0
syn_stomachache_location_0035,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0035.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_25fps_p0,ext_headache_serpil_avci_2_web_25fps_p0
syn_stomachache_location_0036,stomachache,31,,SYNTHETIC,location,syn_ext_serpil-avci,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0036.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_serpil-avci,ext_headache_serpil_avci_2_web_25fps_p0,ext_headache_serpil_avci_2_web_25fps_p0
syn_stomachache_location_0037,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0037.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_legacy,ext_headache_sozluk_b_1_legacy
syn_stomachache_location_0038,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0038.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_legacy,ext_headache_sozluk_b_1_legacy
syn_stomachache_location_0039,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0039.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_legacy,ext_headache_sozluk_b_1_legacy
syn_stomachache_location_0040,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0040.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_10fps_p0,ext_headache_sozluk_b_1_web_10fps_p0
syn_stomachache_location_0041,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0041.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_10fps_p0,ext_headache_sozluk_b_1_web_10fps_p0
syn_stomachache_location_0042,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0042.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_10fps_p0,ext_headache_sozluk_b_1_web_10fps_p0
syn_stomachache_location_0043,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0043.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_10fps_p50,ext_headache_sozluk_b_1_web_10fps_p50
syn_stomachache_location_0044,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0044.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_10fps_p50,ext_headache_sozluk_b_1_web_10fps_p50
syn_stomachache_location_0045,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0045.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_10fps_p50,ext_headache_sozluk_b_1_web_10fps_p50
syn_stomachache_location_0046,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0046.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_25fps_p0,ext_headache_sozluk_b_1_web_25fps_p0
syn_stomachache_location_0047,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0047.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_25fps_p0,ext_headache_sozluk_b_1_web_25fps_p0
syn_stomachache_location_0048,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0048.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_1_web_25fps_p0,ext_headache_sozluk_b_1_web_25fps_p0
syn_stomachache_location_0049,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0049.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_legacy,ext_headache_sozluk_b_2_legacy
syn_stomachache_location_0050,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0050.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_legacy,ext_headache_sozluk_b_2_legacy
syn_stomachache_location_0051,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0051.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_legacy,ext_headache_sozluk_b_2_legacy
syn_stomachache_location_0052,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0052.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_10fps_p0,ext_headache_sozluk_b_2_web_10fps_p0
syn_stomachache_location_0053,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0053.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_10fps_p0,ext_headache_sozluk_b_2_web_10fps_p0
syn_stomachache_location_0054,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0054.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_10fps_p0,ext_headache_sozluk_b_2_web_10fps_p0
syn_stomachache_location_0055,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0055.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_10fps_p50,ext_headache_sozluk_b_2_web_10fps_p50
syn_stomachache_location_0056,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0056.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_10fps_p50,ext_headache_sozluk_b_2_web_10fps_p50
syn_stomachache_location_0057,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0057.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_10fps_p50,ext_headache_sozluk_b_2_web_10fps_p50
syn_stomachache_location_0058,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0058.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_25fps_p0,ext_headache_sozluk_b_2_web_25fps_p0
syn_stomachache_location_0059,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0059.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_25fps_p0,ext_headache_sozluk_b_2_web_25fps_p0
syn_stomachache_location_0060,stomachache,31,,SYNTHETIC,location,syn_ext_sozluk-b,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0060.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_sozluk-b,ext_headache_sozluk_b_2_web_25fps_p0,ext_headache_sozluk_b_2_web_25fps_p0
syn_stomachache_location_0061,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0061.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_legacy,ext_headache_turkcell_akademi_1_legacy
syn_stomachache_location_0062,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0062.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_legacy,ext_headache_turkcell_akademi_1_legacy
syn_stomachache_location_0063,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0063.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-holistic-legacy,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_legacy,ext_headache_turkcell_akademi_1_legacy
syn_stomachache_location_0064,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0064.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_web_10fps_p0,ext_headache_turkcell_akademi_1_web_10fps_p0
syn_stomachache_location_0065,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0065.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_web_10fps_p0,ext_headache_turkcell_akademi_1_web_10fps_p0
syn_stomachache_location_0066,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0066.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_web_10fps_p0,ext_headache_turkcell_akademi_1_web_10fps_p0
syn_stomachache_location_0067,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0067.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_web_10fps_p50,ext_headache_turkcell_akademi_1_web_10fps_p50
syn_stomachache_location_0068,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0068.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_web_10fps_p50,ext_headache_turkcell_akademi_1_web_10fps_p50
syn_stomachache_location_0069,stomachache,31,,SYNTHETIC,location,syn_ext_turkcell-akademi,derived_from_sources,train,,processed/synthetic_health/landmark46-v1/syn_stomachache_location_0069.npz,approved,trainable,true,standard,synthetic,synthetic,stomachache,mediapipe-tasks-web,synthetic-location,location,ext_turkcell-akademi,ext_headache_turkcell_akademi_1_web_10fps_p50,ext_headache_turkcell_akademi_1_web_10fps_p50
